URL,Loại BDS,Tiêu đề,Mức giá (triệu/m²),Địa chỉ chi tiết,Mức giá (triệu),Mức giá (Tỷ),Diện tích (m²),Số phòng ngủ,"Số phòng tắm, vệ sinh",Giấy tờ pháp lý,Nội thất (Cơ bản/ Đầy đủ/0),Số tầng,Mặt tiền (m),Đường vào (m),Hướng nhà,Hướng ban công,Xã/Phường,Quận/Huyện,"Địa chỉ (P,Q,TP)",Latitude,Longitude,Date
https://batdongsan.com.vn/ban-dat-pho-quang-khanh-phuong-quang-an-2/ban-manh-sieu-hiem-tay-ho-ha-noi-343-m2-mt-12-m-287-ty-pr41489107,Đất,Lô góc siêu hiếm độc nhất vô nhị view Hồ Tây lộng gió mặt phố Quảng Khánh 343m2 MT 12m 287tỷ Tây Hồ,836.7346939,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",287000.0,287.0,343.0,,,Có,Không có,,12.0,9.2,,,Phường Quảng An,Tây Hồ,"Phường Quảng An, Tây Hồ, Hà Nội",21.0639841,105.8277707,2025-03-21
https://batdongsan.com.vn/ban-dat-pho-quang-khanh-phuong-quang-an-2/chu-nha-can-ban-gap-manh-tay-ho-lh-pr39141614,Đất,Chủ nhà cần bán gấp mảnh đất Quảng Khánh Tây Hồ. LH 0945 289 ***,833.3333333,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",285000.0,285.0,342.0,,,Có,Không có,,15.0,20.0,Nam,,Phường Quảng An,Tây Hồ,"Phường Quảng An, Tây Hồ, Hà Nội",21.0639841,105.8277707,2025-03-09
https://batdongsan.com.vn/ban-dat-duong-tay-son-phuong-phuong-lien-trung-tu/-sach-mat-pho-589m2-mt16m-san-phep-10-tang-277-ty-pr42385792,Đất,"Đất sạch mặt phố Tây Sơn, 589m2 MT 16m sẵn phép 10 tầng, 277 tỷ",470.2886248,"Đường Tây Sơn, Phường Phương Liên - Trung Tự, Đống Đa, Hà Nội",277000.0,277.0,589.0,,,Có,Không có,,16.0,17.0,,,Phường Phương Liên - Trung Tự,Đống Đa,"Phường Phương Liên - Trung Tự, Đống Đa, Hà Nội",21.0114403,105.8333406,2025-03-22
https://batdongsan.com.vn/ban-dat-duong-pham-van-dong-phuong-xuan-dinh/ban-800m2-lo-goc-map-pho-215-ty-vuong-dep-pr40074974,Đất,Bán 800m2 đất lô góc mặt phố Phạm Văn Đồng 248 tỷ vuông đẹp,310.0,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",248000.0,248.0,800.0,,,Có,Không có,,18.0,40.0,,,Phường Xuân Đỉnh,Bắc Từ Liêm,"Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",21.0669348,105.7885876,2025-03-18
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-xuan-la/ban-tai-tay-ho-ha-noi-245-ty-751-m2-pull-tho-cu-lh-pr42482974,Đất,"Bán đất Lạc Long Quân - Tây Hồ - 245 tỷ - 751 m2 - Full thổ cư, 1 sổ 1 chủ - LH: 0982 769 ***",326.2316911,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",245000.0,245.0,751.0,,,Có,Không có,,17.0,8.0,,,Phường Xuân La,Tây Hồ,"Phường Xuân La, Tây Hồ, Hà Nội",21.0684198,105.8072107,2025-03-19
https://batdongsan.com.vn/ban-dat-duong-xuan-la-phuong-xuan-la/ban-manh-sieu-vip-600m2-2-mat-ngo-to-pho-tay-ho-ha-noi-pr42432205,Đất,Bán mảnh đất siêu Vip 600m2 - 2 mặt ngõ to phố Xuân La - Tây Hồ - Hà Nội,366.6666667,"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",220000.0,220.0,600.0,,,Không có,Không có,,12.0,9.2,,,Phường Xuân La,Tây Hồ,"Phường Xuân La, Tây Hồ, Hà Nội",21.0684198,105.8072107,2025-03-14
https://batdongsan.com.vn/ban-dat-phuong-phuc-loi/chuyen-nhuong-lo-goc-sieu-vip-3-mat-tien-kinh-doanh-dinh-cao-mat-pho-via-he-van-phong-sieu-hiem-pr41682839,Đất,Chuyển nhượng lô góc siêu vip 3 mặt tiền kinh doanh đỉnh cao mặt phố vỉa hè văn phòng siêu hiếm,69.88564168,"Phường Phúc Lợi, Long Biên, Hà Nội",220000.0,220.0,3148.0,,,Có,Không có,,35.0,21.0,,,Phường Phúc Lợi,Long Biên,"Phường Phúc Lợi, Long Biên, Hà Nội",21.0441662,105.9189012,2025-03-15
https://batdongsan.com.vn/ban-dat-duong-pham-van-dong-phuong-xuan-tao/ban-lo-goc-mat-pho-ngoai-giao-doan-800m-215-ty-phu-hop-xay-ks-vp-bv-pr40863753,Đất,"Bán lô góc mặt phố Phạm Văn Đồng, Ngoại Giao Đoàn 800m2 215 tỷ phù hợp xây KS, VP, BV",268.75,"Đường Phạm Văn Đồng, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",215000.0,215.0,800.0,,,Có,Không có,,18.0,60.0,,,Phường Xuân Tảo,Bắc Từ Liêm,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",21.0634536,105.7976169,2025-03-15
https://batdongsan.com.vn/ban-dat-duong-ho-tung-mau-phuong-phu-dien/550m2-mat-via-he-8m-mat-tien-16m2-gia-198-ty-btl10207-pr41466634,Đất,550m2 mặt đường Hồ Tùng Mậu - Vỉa hè 8m - Mặt tiền 16m giá 198 tỷ BTL10207,360.0,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",198000.0,198.0,550.0,,,Có,Không có,,16.0,11.3,,,Phường Phú Diễn,Bắc Từ Liêm,"Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",21.0434643,105.75641,2025-03-20
https://batdongsan.com.vn/ban-dat-duong-ho-tung-mau-phuong-phuc-dien/chinh-chu-ban-mat-p-550-met-vuong-mat-tien-15-met-195-ty-pr40074929,Đất,Chính chủ bán đất mặt phố Hồ Tùng Mậu 550 mét vuông. Mặt tiền 15 mét 195 tỷ,354.5454545,"Đường Hồ Tùng Mậu, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội.",195000.0,195.0,550.0,,,Không có,Không có,,15.0,2.5,,,Phường Phúc Diễn,Bắc Từ Liêm,"Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",21.0443049,105.7528429,2025-03-15
https://batdongsan.com.vn/ban-dat-duong-ho-tung-mau-phuong-mai-dich/1000m2-mat-pho-cau-giay-va-1-mat-ngo-oto-mat-tien-17m-gia-195-ty-pr42140407,Đất,"1000m2 đất mặt phố Cầu Giấy và 1 mặt ngõ ôtô, mặt tiền 17m, giá 195 tỷ",195.0,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",195000.0,195.0,1000.0,,,Có,Không có,,17.0,16.0,,,Phường Mai Dịch,Cầu Giấy,"Phường Mai Dịch, Cầu Giấy, Hà Nội",21.0366695,105.7801355,2025-03-20
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-nhat-tan-2/ban-tay-ho-1989m2-mat-tien-47m-gia-195-ty-pr42423234,Đất,"Bán đất Âu Cơ, Tây Hồ - 1989m2, mặt tiền 47m - giá 195 tỷ",98.03921569,"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",195000.0,195.0,1989.0,,,Có,Không có,,47.0,5.0,,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-03-13
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-quang-an-2/ban-xuan-dieu-to-ngoc-van-tay-ho-dt-1988m2-mt-50m-gia-cuc-hiem-tai-khu-vuc-o-to-pr42428294,Đất,"Bán đất Âu Cơ - Xuân Diệu - Tô Ngọc Vân - Tây Hồ, DT 1988m2, MT 50m, giá cực hiếm tại khu vực, ô tô",98.08853119,"Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội",195000.0,195.0,1988.0,,,Có,Không có,,50.0,5.0,,,Phường Quảng An,Tây Hồ,"Phường Quảng An, Tây Hồ, Hà Nội",21.0639841,105.8277707,2025-03-14
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-nhat-tan-2/ban-manh-pho-p-q-tay-ho-dt-890m2-lo-goc-mt-rong-47-m-gia-ban-194-ty-pr42438853,Đất,"Bán mảnh đất phố Âu Cơ, P. Nhật Tân, Q. Tây Hồ, DT 890m2, lô góc, MT rộng 47 m, giá bán 194 tỷ",225.5813953,"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",194000.0,194.0,860.0,,,Có,Không có,,8.304324494949494,7.652945472249271,,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-03-26
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-nhat-tan-2/ban-manh-pho-p-q-tay-ho-dt-890m2-lo-goc-mt-rong-47-m-gia-ban-194-ty-pr42438852,Đất,"Bán mảnh đất phố Âu Cơ, P. Nhật Tân, Q. Tây Hồ, DT 890m2, lô góc, MT rộng 47 m, giá bán 194 tỷ",225.5813953,"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",194000.0,194.0,860.0,,,Có,Không có,,8.5,12.2,,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-04-01
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-nhat-tan-2/ban-biet-thu-vuon-dao-435m2-x-mt-17m-oto-tranh-2-chieu-via-he-5m-pr42506671,Đất,Bán đất biệt thự Vườn Đào - Lạc Long Quân - 435m2 x MT 17m - ô tô tránh 2 chiều - vỉa hè 5m,436.7816092,"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội",190000.0,190.0,435.0,,,Có,Không có,,17.0,8.5,,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-04-02
https://batdongsan.com.vn/ban-dat-duong-32-xa-duc-thuong/ban-lo-sieu-to-khong-lo-3200m2-nam-tren-mat-ql-32-doan-qua-tram-troi-hoai-190-ty-pr42288895,Đất,"Bán lô đất siêu to khổng lồ: 3200m2 nằm trên mặt đường QL 32 đoạn qua Trạm Trôi, Hoài Đức. 190 tỷ",59.375,"Đường 32, Xã Đức Thượng, Hoài Đức, Hà Nội",190000.0,190.0,3200.0,,,Có,Không có,,8.304324494949494,7.652945472249271,,,Xã Đức Thượng,Hoài Đức,"Xã Đức Thượng, Hoài Đức, Hà Nội",21.0752464,105.6856103,2025-03-18
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-nhat-tan-2/chinh-chu-can-ban-gan-2000m2-tho-cu-mat-thung-lung-hoa-ho-tay-p-tay-ho-hn-200ty-pr40598067,Đất,Chính chủ cần bán gần 2000m2 đất thổ cư mặt thung lũng hoa Hồ Tây - P. Nhật Tân - Tây Hồ - HN 189tỷ,95.02262443,"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",189000.0,189.0,1989.0,,,Có,Không có,,37.0,8.0,Đông - Nam,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-03-28
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-xuan-la/chinh-chu-ban-pho-tay-ho-lo-goc-3-mat-thoang-450m2-gia-189-ty-pr42485291,Đất,"Chính chủ bán đất phố Lạc Long Quân, Tây Hồ lô góc 3 mặt thoáng 450m2 - giá 189 tỷ",420.0,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",189000.0,189.0,450.0,,,Có,Không có,,18.0,5.6,,,Phường Xuân La,Tây Hồ,"Phường Xuân La, Tây Hồ, Hà Nội",21.0684198,105.8072107,2025-03-20
https://batdongsan.com.vn/ban-dat-duong-au-co-phuong-nhat-tan-2/ban-gan-ho-tay-thich-hop-xay-khach-san-biet-thu-nghi-2000m2-gia-189-ty-pr42411460,Đất,"Bán đất Âu Cơ gần hồ tây thích hợp xây khách sạn, biệt thự nghỉ dưỡng 2000m2 giá 189 tỷ",94.5,"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",189000.0,189.0,2000.0,,,Có,Không có,,80.0,10.0,,,Phường Nhật Tân,Tây Hồ,"Phường Nhật Tân, Tây Hồ, Hà Nội",21.0791733,105.815656,2025-03-24
https://batdongsan.com.vn/ban-dat-duong-le-van-luong-phuong-nhan-chinh/ban-o-goc-313m2-dau-gia-ngo-21-luong-pr42501783,Đất,Bán ô góc 313m2 đấu giá ngõ 21 Lê Văn Lương 0974 681 ***,600.0,"Ngõ 21, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",187800.0,187.8,313.0,,,Có,Không có,,20.0,17.0,Tây - Bắc,,Phường Nhân Chính,Thanh Xuân,"Phường Nhân Chính, Thanh Xuân, Hà Nội",21.0039313,105.8046282,2025-03-21
https://batdongsan.com.vn/ban-dat-duong-le-van-luong-phuong-nhan-chinh/-chu-ban-manh-lo-goc-vi-tri-sieu-dep-hiem-co-dien-tich-312m2-tai-23-luong-pr42176732,Đất,Chính chủ bán mảnh đất lô góc vị trí siêu đẹp hiếm có diện tích 312m2 tại 23 Lê Văn Lương,600.0,"23, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",187200.0,187.2,312.0,,,Có,Không có,,30.0,14.0,Tây - Nam,,Phường Nhân Chính,Thanh Xuân,"Phường Nhân Chính, Thanh Xuân, Hà Nội",21.0039313,105.8046282,2025-03-31
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-xuan-la/ban-mat-pho-tay-ho-dt-438m-mat-tien-17m-via-he-da-bong-lo-goc-3-thoang-280tr-m-pr40810256,Đất,"Bán đất mặt phố Lạc Long Quân, Tây Hồ. DT 438m2, MT 17m vỉa hè đá bóng lô góc 3 thoáng 187 tỷ",426.9406393,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",187000.0,187.0,438.0,,,Có,Không có,,17.0,8.5,,,Phường Xuân La,Tây Hồ,"Phường Xuân La, Tây Hồ, Hà Nội",21.0684198,105.8072107,2025-03-30
https://batdongsan.com.vn/ban-dat-duong-le-van-luong-phuong-trung-hoa-4/chinh-chu-ban-manh-lo-goc-tri-sieu-dep-co-dien-tich-312m2-tai-23-luong-pr42472148,Đất,Chính chủ bán mảnh đất lô góc trí siêu đẹp có diện tích 312m2 tại 23 Lê Văn Lương,596.1538462,"23, Đường Lê Văn Lương, Phường Trung Hòa, Cầu Giấy, Hà Nội",186000.0,186.0,312.0,,,Có,Không có,,50.0,15.0,,,Phường Trung Hòa,Cầu Giấy,"Phường Trung Hòa, Cầu Giấy, Hà Nội",21.0070061,105.798248,2025-03-18
